Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Mileage,Mileage_naa,Engine,Engine_naa,Power,Power_naa
2007,262000,Diesel,Manual,Fourth & Above,7.0,4.0,12.8,False,2494.0,False,102.0,False
2013,62000,Diesel,Manual,First,5.0,7.75,19.01,False,1461.0,False,108.45,False
2012,87615,Petrol,Manual,First,5.0,6.75,14.53,False,1798.0,False,138.1,False
2013,72000,Diesel,Automatic,Second,7.0,12.5,11.18,False,2696.0,False,184.0,False
2010,35000,Diesel,Automatic,First,5.0,11.5,12.4,False,2698.0,False,179.5,False
2014,55431,Petrol,Manual,Second,5.0,6.98,16.09,False,1598.0,False,103.5,False
2009,83816,Petrol,Manual,Second,5.0,1.85,14.0,False,1061.0,False,64.0,False
2018,50075,Diesel,Manual,First,5.0,8.63,24.3,False,1248.0,False,88.5,False
2017,52000,Petrol,Manual,First,5.0,4.85,18.15,False,1198.0,False,82.0,False
2013,85000,Diesel,Automatic,First,5.0,28.0,11.74,False,2987.0,False,254.8,False
2013,62000,Diesel,Manual,First,5.0,5.0,22.07,False,1199.0,False,73.9,False
2008,90000,Petrol,Manual,Second,5.0,1.25,19.7,False,796.0,False,46.3,False
2014,19698,Petrol,Manual,First,4.0,1.53,25.4,False,624.0,False,37.5,False
2017,22033,Diesel,Manual,First,6.0,5.58,25.32,False,1198.0,False,77.0,False
2014,35487,Petrol,Manual,First,5.0,4.74,18.5,False,1197.0,False,82.9,False
2014,46374,Petrol,Automatic,First,5.0,8.85,14.62,False,1999.0,False,149.92,False
2016,52001,Petrol,Automatic,First,5.0,10.11,14.28,False,1798.0,False,138.03,False
2008,58005,Diesel,Manual,Second,5.0,4.25,14.9,False,1991.0,False,112.2,False
2012,70704,Petrol,Manual,First,7.0,10.95,11.25,False,2694.0,False,163.7,False
2014,75000,Diesel,Manual,First,5.0,3.85,24.4,False,1120.0,False,71.0,False
2012,75800,Diesel,Manual,Second,6.0,5.5,16.55,False,2498.0,False,105.0,False
2015,13648,Diesel,Automatic,First,5.0,21.43,17.11,False,1968.0,False,174.33,False
2014,52000,Diesel,Manual,First,5.0,4.25,22.9,False,1248.0,False,74.0,False
2014,53000,Diesel,Manual,First,5.0,3.3,17.8,False,1248.0,False,75.0,False
2013,65650,Diesel,Manual,First,5.0,3.85,28.4,False,1248.0,False,74.0,False
2015,54000,Petrol,Manual,Third,5.0,3.6,18.9,False,1197.0,False,82.0,False
2015,39000,Petrol,Manual,First,5.0,3.99,15.04,False,1598.0,False,103.2,False
2017,16542,Petrol,Manual,First,5.0,3.3,25.17,False,799.0,False,53.3,False
2010,32000,Petrol,Manual,First,5.0,2.07,20.36,False,1197.0,False,78.9,False
2010,121812,Diesel,Automatic,First,5.0,7.75,13.29,False,1995.0,False,147.6,False
2010,39300,Petrol,Manual,First,5.0,2.25,18.2,False,998.0,False,67.1,False
2017,22000,Diesel,Manual,First,8.0,16.5,13.68,False,2393.0,False,147.8,False
2010,72000,Diesel,Manual,First,5.0,2.75,20.0,False,1399.0,False,68.0,False
2015,58000,Petrol,Automatic,First,5.0,26.7,11.74,False,1796.0,False,186.0,False
2011,65000,Diesel,Manual,Second,5.0,10.0,15.8,False,2148.0,False,170.0,False
2016,178000,Diesel,Manual,First,5.0,2.5,25.0,False,1396.0,False,69.0,False
2012,65664,Diesel,Automatic,First,5.0,13.5,16.55,False,1968.0,False,140.0,False
2007,63000,Petrol,Automatic,Second,5.0,1.85,16.4,False,1497.0,False,78.0,False
2019,15369,Diesel,Automatic,First,5.0,35.67,0.0,False,1950.0,False,194.0,False
2016,63000,Diesel,Manual,First,7.0,8.15,24.52,False,1248.0,False,88.5,False
2018,13000,Diesel,Manual,First,5.0,10.5,22.1,False,1396.0,False,88.7,False
2008,73000,Petrol,Automatic,First,5.0,14.5,8.5,False,4806.0,False,500.0,False
2015,55729,Diesel,Manual,First,7.0,9.65,15.1,False,2179.0,False,140.0,False
2012,45178,Petrol,Automatic,First,5.0,3.48,16.95,False,1197.0,False,78.9,False
2015,56066,Diesel,Manual,First,5.0,6.92,19.64,False,1461.0,False,108.5,False
2016,37300,Petrol,Automatic,Second,5.0,6.46,16.5,False,1198.0,False,86.8,False
2014,56000,Diesel,Automatic,Second,5.0,29.5,18.53,False,1968.0,False,187.74,False
2008,111111,Diesel,Manual,First,5.0,2.0,17.8,False,1399.0,False,113.37409595233115,False
2006,230000,Petrol,Manual,Third,8.0,4.5,12.4,False,1998.0,False,132.0,False
2012,104000,Diesel,Manual,First,7.0,11.75,12.8,False,2494.0,False,102.0,False
2005,87591,Petrol,Manual,First,5.0,1.3,0.0,False,1086.0,False,113.37409595233115,False
2012,95100,Diesel,Manual,First,5.0,3.75,22.9,False,1248.0,False,74.0,False
2017,70000,Petrol,Manual,First,5.0,4.5,17.57,False,1193.0,False,88.7,False
2016,54944,Petrol,Manual,First,5.0,4.82,18.0,False,1198.0,False,86.7,False
2012,70337,Diesel,Manual,First,5.0,2.8,20.0,False,1399.0,False,68.0,False
2013,99638,Diesel,Manual,First,5.0,3.11,23.2,False,1248.0,False,73.94,False
2009,52000,Petrol,Manual,First,5.0,3.25,17.8,False,1497.0,False,117.3,False
2011,75000,Diesel,Automatic,Second,5.0,13.9,16.73,False,1995.0,False,218.0,False
2009,95980,Petrol,Manual,First,5.0,2.25,20.36,False,1197.0,False,78.9,False
2016,16000,Petrol,Manual,First,5.0,5.75,18.9,False,1197.0,False,82.0,False
2007,73745,Petrol,Manual,First,5.0,2.1,17.0,False,1086.0,False,113.37409595233115,False
2016,18949,Petrol,Manual,First,5.0,5.0,17.8,False,1198.0,False,86.7,False
2014,107000,Diesel,Manual,First,7.0,16.5,13.0,False,2982.0,False,168.5,False
2018,48367,Diesel,Automatic,First,5.0,39.58,17.68,False,1968.0,False,174.33,False
2013,57000,Diesel,Manual,First,5.0,5.5,22.7,False,1498.0,False,89.84,False
2014,58000,Diesel,Manual,First,7.0,8.1,15.1,False,2179.0,False,140.0,False
2015,30000,Diesel,Manual,First,5.0,3.5,25.8,False,1498.0,False,98.6,False
2013,34212,Diesel,Manual,First,5.0,2.79,22.07,False,1199.0,False,73.9,False
2010,70002,Diesel,Manual,First,5.0,3.45,16.2,False,1493.0,False,110.0,False
2016,62000,Petrol,Manual,First,5.0,4.45,18.9,False,998.0,False,67.1,False
2010,62001,Petrol,Manual,First,5.0,2.65,15.26,False,1598.0,False,103.5,False
2011,78958,Diesel,Manual,Second,5.0,3.8,23.0,False,1396.0,False,90.0,False
2014,30180,Petrol,Manual,First,5.0,4.65,18.5,False,1197.0,False,82.85,False
2017,32851,Petrol,Manual,First,7.0,3.95,19.83,False,1198.0,False,67.0,False
2010,30000,Diesel,Automatic,First,5.0,9.8,14.94,False,2967.0,False,241.4,False
2009,66000,Petrol,Manual,Second,5.0,2.7,17.0,False,1197.0,False,80.0,False
2010,93850,Petrol,Manual,First,5.0,2.41,14.0,False,796.0,False,35.0,False
2014,53000,Petrol,Manual,First,5.0,3.9,17.71,False,1197.0,False,78.9,False
2011,78000,Diesel,Automatic,Second,5.0,24.0,14.74,False,2993.0,False,270.9,False
2012,65000,Diesel,Manual,Second,7.0,5.75,16.0,False,2179.0,False,140.0,False
2014,40000,Diesel,Automatic,First,5.0,5.25,22.32,False,1582.0,False,126.32,False
2017,30000,Diesel,Automatic,First,7.0,19.25,11.36,False,2755.0,False,171.5,False
2017,38053,Petrol,Manual,First,5.0,3.91,15.1,False,1196.0,False,73.0,False
2014,25500,Petrol,Manual,First,4.0,2.15,25.4,False,624.0,False,37.5,False
2015,56087,Diesel,Automatic,First,5.0,20.75,22.69,False,1995.0,False,190.0,False
2010,71088,Petrol,Manual,First,5.0,3.35,13.5,False,1799.0,False,130.0,False
2014,55000,Diesel,Manual,First,7.0,11.11,12.99,False,2494.0,False,100.6,False
2014,32700,Diesel,Automatic,First,5.0,20.0,23.3,False,1984.0,False,150.0,False
2016,39882,Petrol,Automatic,First,5.0,6.55,19.15,False,1198.0,False,75.94,False
2009,128000,Petrol,Automatic,First,5.0,7.0,10.8,False,2497.0,False,215.0,False
2016,55000,Diesel,Manual,First,5.0,7.5,24.3,False,1248.0,False,88.5,False
2005,102000,Petrol,Manual,Second,5.0,0.85,17.0,False,1086.0,False,113.37409595233115,False
2014,53753,Diesel,Automatic,Second,5.0,16.75,15.0,False,2143.0,False,107.3,False
2018,10250,Diesel,Manual,First,5.0,10.95,22.0,False,1582.0,False,126.2,False
2011,43874,Petrol,Manual,First,5.0,2.45,18.9,False,998.0,False,67.1,False
2017,32684,Petrol,Automatic,First,4.0,3.23,21.9,False,624.0,False,37.48,False
2014,42000,Diesel,Manual,First,8.0,7.75,12.05,False,2179.0,False,120.0,False
2009,28352,Petrol,Automatic,First,5.0,9.35,11.7,False,1796.0,False,178.0,False
2013,89900,CNG,Manual,First,5.0,3.25,11.308822619247861,False,998.0,False,58.16,False
2007,47700,Petrol,Manual,Second,5.0,5.25,10.8,False,2354.0,False,152.0,False
2015,55000,Diesel,Automatic,First,5.0,7.25,21.21,False,1498.0,False,103.2,False
2017,44285,Petrol,Manual,First,5.0,7.47,20.73,False,1373.0,False,91.1,False
2016,54000,Diesel,Automatic,First,7.0,13.25,16.0,False,2179.0,False,140.0,False
2016,30232,Petrol,Manual,First,5.0,5.81,21.1,False,1197.0,False,85.8,False
2014,88500,Petrol,Manual,First,5.0,2.6,24.07,False,998.0,False,67.1,False
2017,13372,Petrol,Automatic,First,2.0,54.0,19.0,False,2996.0,False,362.07,False
2019,12645,Petrol,Automatic,First,5.0,11.5,17.0,False,1591.0,False,121.3,False
2010,94385,Petrol,Manual,Second,5.0,1.6,19.7,False,796.0,False,46.3,False
2015,31821,Diesel,Automatic,First,5.0,17.22,20.58,False,1995.0,False,143.0,False
2015,12000,Petrol,Automatic,First,5.0,6.0,19.0,False,1199.0,False,88.7,False
2012,88578,Petrol,Manual,First,5.0,3.95,13.5,False,1799.0,False,130.0,False
2014,44965,Diesel,Automatic,First,5.0,17.95,19.27,False,2143.0,False,170.0,False
2014,45044,Diesel,Manual,First,5.0,3.7,25.8,False,1498.0,False,98.6,False
2016,34204,Petrol,Manual,First,5.0,5.43,22.0,False,1197.0,False,81.8,False
2008,80759,Petrol,Manual,Third,5.0,1.67,17.0,False,1086.0,False,113.37409595233115,False
2012,91235,Diesel,Manual,First,7.0,13.49,11.5,False,2982.0,False,171.0,False
2014,38800,Petrol,Manual,First,5.0,2.85,18.6,False,1199.0,False,76.8,False
2013,83000,Diesel,Manual,First,5.0,4.75,21.14,False,1498.0,False,103.52,False
2018,41283,Petrol,Manual,First,5.0,9.9,20.73,False,1373.0,False,91.1,False
2013,23000,Petrol,Automatic,First,4.0,37.0,11.05,False,2894.0,False,444.0,False
2014,48000,Diesel,Automatic,First,5.0,26.5,21.76,False,1995.0,False,190.0,False
2015,48214,Diesel,Automatic,First,5.0,23.32,17.11,False,1968.0,False,174.33,False
2016,35000,Diesel,Manual,First,5.0,6.25,22.9,False,1248.0,False,74.0,False
2010,35277,Petrol,Automatic,First,5.0,30.0,7.81,False,5461.0,False,362.9,False
2016,54620,Diesel,Automatic,First,5.0,9.86,21.66,False,1498.0,False,103.52,False
2012,136997,Diesel,Automatic,First,5.0,8.5,17.2,False,1968.0,False,138.1,False
2019,14322,Petrol,Manual,First,5.0,4.23,21.1,False,814.0,False,55.2,False
2012,65634,Diesel,Manual,First,5.0,3.5,22.07,False,1199.0,False,73.9,False
2016,6000,Petrol,Manual,First,5.0,2.5,20.63,False,1198.0,False,67.06,False
2013,33280,Petrol,Manual,First,5.0,2.39,19.4,False,1198.0,False,86.8,False
2013,29000,Petrol,Automatic,First,5.0,11.25,14.8,False,1595.0,False,120.7,False
2015,42831,Diesel,Manual,First,5.0,7.11,26.0,False,1498.0,False,98.6,False
2016,90000,Diesel,Manual,First,7.0,10.9,12.99,False,2494.0,False,100.6,False
2017,24005,Petrol,Manual,First,5.0,6.2,20.4,False,1197.0,False,81.8,False
2012,32792,Diesel,Manual,First,7.0,7.9,15.1,False,2179.0,False,140.0,False
2014,147898,Diesel,Manual,First,5.0,4.42,22.7,False,1498.0,False,89.84,False
2012,131765,Diesel,Manual,First,7.0,13.5,13.0,False,2982.0,False,168.5,False
2013,65000,Diesel,Automatic,First,5.0,6.25,21.5,False,1498.0,False,108.5,False
2010,66123,Diesel,Manual,Second,5.0,2.1,20.0,False,1399.0,False,68.0,False
2015,41000,Diesel,Automatic,First,5.0,45.0,15.3,False,2993.0,False,258.0,False
2017,23550,Diesel,Automatic,First,5.0,33.66,19.27,False,2143.0,False,167.62,False
2012,45000,Petrol,Manual,Second,5.0,3.65,19.4,False,1198.0,False,86.8,False
2013,60000,Petrol,Manual,First,5.0,2.75,20.36,False,1197.0,False,78.9,False
2016,44414,Diesel,Automatic,First,5.0,42.5,17.9,False,2143.0,False,170.0,False
2019,1000,Petrol,Manual,First,5.0,6.5,18.9,False,1197.0,False,81.86,False
2012,62500,Diesel,Automatic,Second,5.0,19.0,17.68,False,1968.0,False,174.33,False
2013,21000,Petrol,Automatic,Second,5.0,4.45,14.4,False,1598.0,False,103.6,False
2017,8525,Diesel,Automatic,Second,5.0,23.0,16.6,False,1998.0,False,112.0,False
2014,29000,Diesel,Manual,First,5.0,8.35,22.54,False,1396.0,False,88.73,False
2014,40000,Diesel,Automatic,First,5.0,22.95,17.68,False,1968.0,False,174.33,False
2012,88000,Diesel,Manual,First,5.0,1.5,25.44,False,936.0,False,57.6,False
2012,53537,Petrol,Automatic,First,5.0,6.89,13.7,False,1798.0,False,157.75,False
2006,216000,Diesel,Manual,Second,5.0,1.45,17.8,False,1399.0,False,68.0,False
2014,51000,Diesel,Automatic,First,5.0,33.5,22.48,False,1995.0,False,190.0,False
2007,118500,Petrol,Manual,First,5.0,1.25,12.9,False,1598.0,False,102.5,False
2012,63000,Diesel,Manual,First,5.0,4.2,22.07,False,1199.0,False,73.9,False
2015,25000,Diesel,Manual,First,8.0,6.75,19.98,False,1461.0,False,108.5,False
2014,37382,Diesel,Automatic,First,5.0,32.0,13.0,False,2143.0,False,201.1,False
2017,24773,Petrol,Manual,First,5.0,7.5,21.4,False,1197.0,False,83.1,False
2012,62000,Diesel,Manual,First,5.0,4.6,22.32,False,1582.0,False,126.32,False
2017,52340,Petrol,Manual,First,5.0,4.04,19.81,False,1086.0,False,68.05,False
2016,56739,Diesel,Manual,First,7.0,10.31,15.4,False,1997.0,False,120.0,False
2018,36091,Diesel,Automatic,First,5.0,55.76,12.7,False,2179.0,False,187.7,False
2010,120000,Diesel,Manual,First,5.0,2.6,20.0,False,1399.0,False,68.0,False
2016,33000,Diesel,Manual,First,7.0,8.5,25.47,False,1248.0,False,88.5,False
2007,60006,Petrol,Manual,First,,2.95,0.0,False,1622.0034294936454,False,113.37409595233115,False
2014,52000,Diesel,Manual,First,5.0,3.5,25.8,False,1498.0,False,98.6,False
2015,43571,Petrol,Manual,First,5.0,3.55,20.36,False,1197.0,False,78.9,False
2013,50000,Diesel,Manual,First,5.0,3.25,25.8,False,1498.0,False,98.6,False
2008,113000,Diesel,Manual,First,5.0,4.5,17.5,False,1896.0,False,106.0,False
2014,90000,Diesel,Manual,First,5.0,5.35,19.87,False,1461.0,False,83.8,False
2017,29000,Diesel,Manual,Second,7.0,6.5,17.45,False,1493.0,False,100.0,False
2016,20000,Diesel,Manual,First,5.0,9.0,24.3,False,1248.0,False,88.5,False
2016,61012,Petrol,Manual,First,5.0,6.0,18.6,False,1197.0,False,81.83,False
2009,87459,Petrol,Manual,First,5.0,2.75,14.7,False,1390.0,False,85.0,False
2010,70500,Petrol,Manual,First,5.0,1.5,15.64,False,1193.0,False,64.1,False
2015,64103,Diesel,Automatic,First,5.0,19.9,15.73,False,1968.0,False,174.33,False
2014,76000,Petrol,Automatic,First,5.0,10.0,14.7,False,1798.0,False,177.5,False
2014,104000,Diesel,Manual,First,5.0,3.0,23.59,False,1364.0,False,67.06,False
2010,42001,Petrol,Manual,First,,2.11,16.1,False,1622.0034294936454,False,113.37409595233115,False
2014,37245,Petrol,Automatic,First,5.0,11.96,14.8,False,1595.0,False,120.7,False
2013,45000,Diesel,Manual,First,5.0,3.25,27.4,False,1498.0,False,98.6,False
2012,117837,Diesel,Manual,Second,5.0,4.75,22.32,False,1582.0,False,126.32,False
2014,30000,Diesel,Manual,First,5.0,5.95,20.46,False,1461.0,False,83.8,False
2015,27057,Petrol,Manual,Second,5.0,8.15,15.29,False,1591.0,False,121.3,False
2016,8500,Petrol,Automatic,First,5.0,4.22,20.51,False,998.0,False,67.0,False
2010,30500,Petrol,Automatic,First,5.0,10.5,11.74,False,1796.0,False,186.0,False
2012,56000,Diesel,Automatic,First,5.0,45.0,11.8,False,2967.0,False,246.7,False
2012,44000,Petrol,Manual,Second,5.0,2.9,19.81,False,1086.0,False,68.05,False
2017,10500,Petrol,Automatic,First,5.0,8.9,14.3,False,1598.0,False,103.52,False
2017,26000,Petrol,Automatic,First,5.0,26.0,14.67,False,1798.0,False,177.46,False
2018,25166,Petrol,Manual,First,5.0,8.22,17.19,False,1197.0,False,81.86,False
2014,64000,Diesel,Manual,Second,5.0,3.5,25.8,False,1498.0,False,98.6,False
2004,61000,Petrol,Manual,Second,5.0,1.25,18.9,False,998.0,False,67.1,False
2013,107000,Diesel,Manual,First,5.0,3.7,21.03,False,1461.0,False,65.0,False
2018,29161,Diesel,Automatic,First,5.0,39.41,19.27,False,2143.0,False,167.62,False
2013,32000,Petrol,Manual,First,5.0,2.65,22.5,False,998.0,False,67.04,False
2015,46173,Diesel,Manual,Second,5.0,8.92,19.01,False,1461.0,False,108.5,False
2013,47000,Diesel,Manual,First,5.0,4.1,17.8,False,1248.0,False,113.37409595233115,False
2017,26327,Petrol,Automatic,First,4.0,35.67,16.82,False,1998.0,False,189.08,False
2015,70436,Diesel,Manual,First,,3.6,0.0,False,1498.0,False,99.0,False
2007,200000,Diesel,Manual,Second,5.0,0.85,17.2,False,1396.0,False,53.5,False
2016,60813,Petrol,Manual,Second,5.0,3.32,18.6,False,1199.0,False,76.8,False
2012,45000,Diesel,Manual,First,5.0,3.6,22.07,False,1199.0,False,73.9,False
2016,64000,Diesel,Manual,First,5.0,6.8,22.9,False,1248.0,False,74.0,False
2012,41284,Diesel,Manual,First,5.0,2.5,20.0,False,1399.0,False,68.05,False
2019,14165,Diesel,Automatic,First,7.0,19.64,11.36,False,2755.0,False,171.5,False
2011,67000,Diesel,Automatic,Second,7.0,7.0,11.72,False,2199.0,False,194.3,False
2011,32572,Petrol,Manual,First,5.0,3.87,17.4,False,1497.0,False,117.3,False
2018,14960,Petrol,Manual,First,5.0,6.27,18.6,False,1197.0,False,81.83,False
2015,55980,Diesel,Automatic,First,5.0,18.12,19.27,False,2143.0,False,167.62,False
2013,74000,Diesel,Manual,First,5.0,2.65,25.44,False,936.0,False,57.6,False
2015,56847,Diesel,Manual,First,5.0,7.2,22.54,False,1396.0,False,88.73,False
2015,121374,Diesel,Manual,First,7.0,14.3,12.99,False,2494.0,False,100.6,False
2013,52000,Diesel,Manual,First,7.0,6.9,20.77,False,1248.0,False,88.76,False
2014,118000,Diesel,Manual,First,7.0,10.75,12.8,False,2494.0,False,102.0,False
2007,72000,Petrol,Manual,Third,5.0,0.95,17.0,False,1086.0,False,113.37409595233115,False
2016,33915,Petrol,Manual,First,5.0,8.09,17.8,False,1497.0,False,117.3,False
2014,82002,Diesel,Automatic,First,5.0,18.5,17.05,False,1995.0,False,184.0,False
2017,33000,Diesel,Manual,First,5.0,4.75,24.0,False,1120.0,False,70.0,False
2016,34000,Diesel,Manual,First,5.0,8.45,28.09,False,1248.0,False,88.5,False
2012,55000,Diesel,Manual,First,5.0,3.5,20.5,False,1598.0,False,103.6,False
2006,160538,Diesel,Manual,First,5.0,1.8,13.1,False,1493.0,False,82.0,False
2014,60000,Diesel,Manual,Second,5.0,3.7,19.91,False,1498.0,False,103.6,False
2017,49575,Petrol,Manual,First,5.0,7.17,18.7,False,1199.0,False,88.7,False
2010,83000,Petrol,Manual,First,5.0,1.75,19.81,False,1086.0,False,68.05,False
2018,51346,Diesel,Automatic,First,5.0,21.99,16.38,False,1995.0,False,183.0,False
2017,43000,Diesel,Manual,First,7.0,18.65,13.68,False,2393.0,False,147.8,False
2011,35000,Petrol,Manual,Third,5.0,1.85,19.7,False,796.0,False,35.0,False
2017,27872,Petrol,Manual,Second,5.0,5.95,20.4,False,1197.0,False,81.8,False
2014,16514,Petrol,Manual,First,5.0,3.75,18.9,False,1197.0,False,82.0,False
2012,120000,Diesel,Manual,First,5.0,3.75,22.9,False,1248.0,False,74.0,False
2008,143275,Diesel,Manual,First,5.0,2.6,22.0,False,1582.0,False,126.2,False
2006,99000,Petrol,Manual,First,5.0,1.75,0.0,False,1086.0,False,113.37409595233115,False
2010,52000,Petrol,Manual,First,5.0,2.8,17.0,False,1197.0,False,80.0,False
2017,29819,Diesel,Automatic,First,5.0,61.29,11.57,False,2987.0,False,254.79,False
2014,57000,Diesel,Manual,Second,5.0,18.0,15.8,False,2148.0,False,170.0,False
2014,88500,Diesel,Manual,First,5.0,4.35,23.2,False,1248.0,False,73.94,False
2016,28000,Diesel,Manual,First,5.0,13.75,19.67,False,1582.0,False,126.2,False
2010,67000,Petrol,Manual,First,5.0,2.0,19.0,False,998.0,False,66.1,False
2016,26000,Diesel,Manual,First,5.0,10.0,19.64,False,1461.0,False,108.45,False
2010,120000,Diesel,Manual,First,5.0,1.65,17.8,False,1248.0,False,76.0,False
2017,51982,Diesel,Automatic,First,5.0,45.77,16.55,False,2993.0,False,258.0,False
2010,36000,Petrol,Manual,Second,5.0,3.25,20.36,False,1197.0,False,78.9,False
2016,47000,Diesel,Manual,First,7.0,12.8,12.8,False,2494.0,False,102.0,False
2002,60000,Petrol,Manual,Third,5.0,0.55,17.3,False,993.0,False,60.0,False
2018,31025,Diesel,Manual,First,5.0,7.15,28.4,False,1248.0,False,74.0,False
2013,105000,Diesel,Manual,Second,8.0,7.0,12.05,False,2179.0,False,120.0,False
2017,121900,Diesel,Manual,First,5.0,3.75,22.95,False,1248.0,False,74.0,False
2017,22695,Petrol,Manual,First,5.0,8.5,18.88,False,999.0,False,123.24,False
2012,73000,Diesel,Manual,First,5.0,4.35,23.4,False,1248.0,False,74.0,False
2016,32227,Petrol,Manual,First,5.0,3.26,22.74,False,796.0,False,47.3,False
2011,55000,Petrol,Manual,First,5.0,4.21,17.0,False,1497.0,False,118.0,False
2018,11287,Diesel,Automatic,First,7.0,70.36,12.07,False,2967.0,False,241.4,False
2009,48000,Diesel,Automatic,Second,5.0,2.95,17.0,False,1896.0,False,105.0,False
2012,54308,Petrol,Manual,First,5.0,4.28,17.1,False,1591.0,False,121.3,False
2009,78442,Petrol,Automatic,First,5.0,3.57,16.8,False,1497.0,False,118.0,False
2013,46000,Diesel,Manual,First,5.0,3.11,21.9,False,1396.0,False,88.8,False
2014,45051,Petrol,Automatic,First,5.0,5.96,15.0,False,1396.0,False,98.6,False
2011,69000,Diesel,Manual,First,5.0,4.7,20.54,False,1598.0,False,103.6,False
2014,49000,Petrol,Manual,First,5.0,6.9,17.4,False,1497.0,False,117.3,False
2018,45000,Diesel,Manual,First,5.0,5.25,22.95,False,1248.0,False,74.0,False
2015,64000,Diesel,Automatic,First,5.0,28.0,18.48,False,1995.0,False,177.0,False
2009,60000,Petrol,Manual,First,5.0,1.35,18.9,False,1061.0,False,67.0,False
2015,62178,Petrol,Manual,First,5.0,4.85,18.2,False,1199.0,False,88.7,False
2012,58006,Diesel,Manual,First,5.0,6.7,15.0,False,1896.0,False,105.0,False
2010,74000,Petrol,Manual,First,5.0,3.1,20.36,False,1197.0,False,78.9,False
2015,77771,Diesel,Automatic,First,5.0,18.64,19.27,False,2143.0,False,170.0,False
2012,45275,Petrol,Manual,First,5.0,2.8,20.36,False,1197.0,False,78.9,False
2016,48000,Diesel,Manual,First,7.0,20.25,13.68,False,2393.0,False,147.8,False
2015,31652,Diesel,Automatic,First,5.0,26.78,17.68,False,1968.0,False,174.33,False
2010,109000,Diesel,Manual,Second,7.0,8.26,12.99,False,2494.0,False,100.6,False
2015,31978,Petrol,Manual,First,5.0,3.89,16.47,False,1198.0,False,73.9,False
2011,70000,Petrol,Manual,First,5.0,2.1,20.92,False,998.0,False,67.1,False
2017,15000,Petrol,Automatic,First,5.0,12.69,18.0,False,1497.0,False,117.3,False
2013,59138,Diesel,Manual,First,5.0,2.58,17.0,False,1405.0,False,70.0,False
2014,61726,Diesel,Automatic,First,5.0,20.77,17.68,False,1968.0,False,174.33,False
2015,48000,Diesel,Automatic,First,5.0,20.26,17.9,False,2143.0,False,136.0,False
2006,58000,Petrol,Manual,Second,5.0,1.5,0.0,False,1086.0,False,113.37409595233115,False
2011,60020,Diesel,Manual,First,5.0,2.5,17.8,False,1248.0,False,113.37409595233115,False
2014,77815,Petrol,Automatic,First,5.0,4.25,23.1,False,998.0,False,67.04,False
